N,category,security_bits,chain,logq_used,depth
2048,1,128,27+27,54,0
2048,3,192,18+19,37,0
2048,5,256,14+15,29,0
4096,1,128,36+37+36,109,1
4096,3,192,37+38,75,0
4096,5,256,29+29,58,0
8192,1,128,60+40+40+60,200,2
8192,3,192,50+52+50,152,1
8192,5,256,59+59,118,0
16384,1,128,60+40*7+60,400,7
16384,3,192,60+40*4+60,280,4
16384,5,256,60+40*2+60,200,2
