library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,2048,3,0,0,0,fresh,0.058528,0.00732171,MISMATCH,measured
SEAL,CKKS,2048,3,0,0,1,after_add,0.0870837,0.0106402,MISMATCH,measured
SEAL,CKKS,2048,3,0,1,0,fresh,0.0665148,0.00729055,MISMATCH,measured
SEAL,CKKS,2048,3,0,1,1,after_add,0.0997053,0.0103572,MISMATCH,measured
SEAL,CKKS,2048,3,0,2,0,fresh,0.0664687,0.00753747,MISMATCH,measured
SEAL,CKKS,2048,3,0,2,1,after_add,0.0717714,0.0105597,MISMATCH,measured
SEAL,CKKS,2048,3,0,3,0,fresh,0.0630829,0.00735333,MISMATCH,measured
SEAL,CKKS,2048,3,0,3,1,after_add,0.0770567,0.0101431,MISMATCH,measured
SEAL,CKKS,2048,3,0,4,0,fresh,0.07245,0.00747299,MISMATCH,measured
SEAL,CKKS,2048,3,0,4,1,after_add,0.0673339,0.0105437,MISMATCH,measured
SEAL,CKKS,2048,3,0,5,0,fresh,0.0560508,0.00738309,MISMATCH,measured
SEAL,CKKS,2048,3,0,5,1,after_add,0.0696594,0.0106197,MISMATCH,measured
SEAL,CKKS,2048,3,0,6,0,fresh,0.0650142,0.00740868,MISMATCH,measured
SEAL,CKKS,2048,3,0,6,1,after_add,0.0743158,0.0100381,MISMATCH,measured
SEAL,CKKS,2048,3,0,7,0,fresh,0.0601582,0.00742339,MISMATCH,measured
SEAL,CKKS,2048,3,0,7,1,after_add,0.0757669,0.0104309,MISMATCH,measured
SEAL,CKKS,2048,3,0,8,0,fresh,0.0504591,0.00736026,MISMATCH,measured
SEAL,CKKS,2048,3,0,8,1,after_add,0.0761989,0.0108111,MISMATCH,measured
SEAL,CKKS,2048,3,0,9,0,fresh,0.0674282,0.00780272,MISMATCH,measured
SEAL,CKKS,2048,3,0,9,1,after_add,0.112121,0.0103705,MISMATCH,measured
