library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,status
SEAL,CKKS,4096,1,1,4,1,after_add,2.88869e-06,3.13482e-07,measured
SEAL,CKKS,4096,1,1,4,2,after_multiply_1,2.44143e-06,2.39176e-07,measured
SEAL,CKKS,4096,1,1,4,3,after_relinearize_1,2.44143e-06,2.39176e-07,measured
SEAL,CKKS,4096,1,1,4,4,after_rescale_1,0.000146795,1.46864e-05,measured
SEAL,CKKS,4096,1,1,5,0,fresh,1.88957e-06,2.22746e-07,measured
SEAL,CKKS,4096,1,1,5,1,after_add,2.96146e-06,3.17652e-07,measured
SEAL,CKKS,4096,1,1,5,2,after_multiply_1,4.58299e-06,2.30805e-07,measured
SEAL,CKKS,4096,1,1,5,3,after_relinearize_1,4.58299e-06,2.30805e-07,measured
SEAL,CKKS,4096,1,1,5,4,after_rescale_1,0.000120069,1.41298e-05,measured
SEAL,CKKS,4096,1,1,6,0,fresh,1.60192e-06,2.18685e-07,measured
SEAL,CKKS,4096,1,1,6,1,after_add,2.82156e-06,3.16661e-07,measured
SEAL,CKKS,4096,1,1,6,2,after_multiply_1,2.10211e-06,2.40443e-07,measured
SEAL,CKKS,4096,1,1,6,3,after_relinearize_1,2.10211e-06,2.40443e-07,measured
SEAL,CKKS,4096,1,1,6,4,after_rescale_1,0.000121208,1.45261e-05,measured
SEAL,CKKS,4096,1,1,7,0,fresh,1.93001e-06,2.29116e-07,measured
SEAL,CKKS,4096,1,1,7,1,after_add,3.04612e-06,3.19821e-07,measured
SEAL,CKKS,4096,1,1,7,2,after_multiply_1,2.38961e-06,2.42268e-07,measured
SEAL,CKKS,4096,1,1,7,3,after_relinearize_1,2.38961e-06,2.42268e-07,measured
SEAL,CKKS,4096,1,1,7,4,after_rescale_1,9.38742e-05,1.44792e-05,measured
SEAL,CKKS,4096,1,1,8,0,fresh,1.8422e-06,2.32389e-07,measured
SEAL,CKKS,4096,1,1,8,1,after_add,2.22164e-06,3.25268e-07,measured
SEAL,CKKS,4096,1,1,8,2,after_multiply_1,2.86544e-06,2.33205e-07,measured
SEAL,CKKS,4096,1,1,8,3,after_relinearize_1,2.86544e-06,2.33205e-07,measured
SEAL,CKKS,4096,1,1,8,4,after_rescale_1,0.000107609,1.42207e-05,measured
SEAL,CKKS,4096,1,1,9,0,fresh,2.34237e-06,2.2925e-07,measured
SEAL,CKKS,4096,1,1,9,1,after_add,3.95152e-06,3.17462e-07,measured
SEAL,CKKS,4096,1,1,9,2,after_multiply_1,2.42137e-06,2.419e-07,measured
SEAL,CKKS,4096,1,1,9,3,after_relinearize_1,2.42137e-06,2.419e-07,measured
SEAL,CKKS,4096,1,1,9,4,after_rescale_1,0.000104257,1.43207e-05,measured
SEAL,CKKS,4096,3,0,0,0,fresh,0.480808,0.0588793,measured
SEAL,CKKS,4096,3,0,0,1,after_add,0.604464,0.0853929,measured
SEAL,CKKS,4096,3,0,1,0,fresh,0.457734,0.0581489,measured
SEAL,CKKS,4096,3,0,1,1,after_add,0.815279,0.079485,measured
SEAL,CKKS,4096,3,0,2,0,fresh,0.479857,0.0597272,measured
SEAL,CKKS,4096,3,0,2,1,after_add,0.550326,0.0817283,measured
SEAL,CKKS,4096,3,0,3,0,fresh,0.450516,0.0596624,measured
SEAL,CKKS,4096,3,0,3,1,after_add,1.06244,0.0844093,measured
SEAL,CKKS,4096,3,0,4,0,fresh,0.444437,0.0594748,measured
SEAL,CKKS,4096,3,0,4,1,after_add,0.753795,0.0848614,measured
SEAL,CKKS,4096,3,0,5,0,fresh,0.568314,0.0594647,measured
SEAL,CKKS,4096,3,0,5,1,after_add,0.594892,0.0835773,measured
SEAL,CKKS,4096,3,0,6,0,fresh,0.407643,0.0593964,measured
SEAL,CKKS,4096,3,0,6,1,after_add,0.628527,0.082478,measured
SEAL,CKKS,4096,3,0,7,0,fresh,0.531387,0.060414,measured
SEAL,CKKS,4096,3,0,7,1,after_add,0.591727,0.0819309,measured
SEAL,CKKS,4096,3,0,8,0,fresh,0.39437,0.0596395,measured
SEAL,CKKS,4096,3,0,8,1,after_add,0.598936,0.0828965,measured
SEAL,CKKS,4096,3,0,9,0,fresh,0.533749,0.0583246,measured
SEAL,CKKS,4096,3,0,9,1,after_add,0.751964,0.0835664,measured
SEAL,CKKS,4096,5,0,0,0,fresh,5.52643,0.93668,measured
SEAL,CKKS,4096,5,0,0,1,after_add,9.16242,1.32594,measured
SEAL,CKKS,4096,5,0,1,0,fresh,7.19324,0.932712,measured
SEAL,CKKS,4096,5,0,1,1,after_add,8.60673,1.32095,measured
SEAL,CKKS,4096,5,0,2,0,fresh,7.66295,0.961278,measured
SEAL,CKKS,4096,5,0,2,1,after_add,15.0091,1.34151,measured
SEAL,CKKS,4096,5,0,3,0,fresh,6.45272,0.940395,measured
SEAL,CKKS,4096,5,0,3,1,after_add,10.8053,1.32617,measured
SEAL,CKKS,4096,5,0,4,0,fresh,7.31473,0.946742,measured
SEAL,CKKS,4096,5,0,4,1,after_add,11.6021,1.34227,measured
SEAL,CKKS,4096,5,0,5,0,fresh,7.81897,0.963248,measured
