library,scheme,N,category,grid_depth,effective_depth,trial,step_index,step_name,noise_budget_bits,status
SEAL,BFV,4096,5,0,0,0,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,0,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,1,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,1,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,2,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,2,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,3,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,3,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,4,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,4,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,5,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,5,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,6,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,6,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,7,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,7,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,8,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,8,1,after_add,1,measured
SEAL,BFV,4096,5,0,0,9,0,fresh,2,measured
SEAL,BFV,4096,5,0,0,9,1,after_add,1,measured
