library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,2048,1,0,0,0,fresh,0.000102531,1.38969e-05,correct,measured
SEAL,CKKS,2048,1,0,0,1,after_add,0.000141299,2.08935e-05,correct,measured
SEAL,CKKS,2048,1,0,1,0,fresh,0.00012413,1.50137e-05,correct,measured
SEAL,CKKS,2048,1,0,1,1,after_add,0.000171368,2.07883e-05,correct,measured
SEAL,CKKS,2048,1,0,2,0,fresh,8.26196e-05,1.44291e-05,correct,measured
SEAL,CKKS,2048,1,0,2,1,after_add,0.000174371,2.04874e-05,correct,measured
SEAL,CKKS,2048,1,0,3,0,fresh,0.000120675,1.517e-05,correct,measured
SEAL,CKKS,2048,1,0,3,1,after_add,0.000156587,2.13531e-05,correct,measured
SEAL,CKKS,2048,1,0,4,0,fresh,0.000121446,1.46435e-05,correct,measured
SEAL,CKKS,2048,1,0,4,1,after_add,0.000140815,2.03287e-05,correct,measured
SEAL,CKKS,2048,1,0,5,0,fresh,9.85258e-05,1.49199e-05,correct,measured
SEAL,CKKS,2048,1,0,5,1,after_add,0.000118632,2.0548e-05,correct,measured
SEAL,CKKS,2048,1,0,6,0,fresh,8.75775e-05,1.4648e-05,correct,measured
SEAL,CKKS,2048,1,0,6,1,after_add,0.000177454,2.07495e-05,correct,measured
SEAL,CKKS,2048,1,0,7,0,fresh,0.000109119,1.45162e-05,correct,measured
SEAL,CKKS,2048,1,0,7,1,after_add,0.000145706,2.01199e-05,correct,measured
SEAL,CKKS,2048,1,0,8,0,fresh,8.52742e-05,1.39488e-05,correct,measured
SEAL,CKKS,2048,1,0,8,1,after_add,0.000112631,2.0208e-05,correct,measured
SEAL,CKKS,2048,1,0,9,0,fresh,0.000112068,1.43532e-05,correct,measured
SEAL,CKKS,2048,1,0,9,1,after_add,0.000152627,2.01578e-05,correct,measured
