library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,4096,3,0,0,0,fresh,9.35074e-07,1.13516e-07,correct,measured
SEAL,CKKS,4096,3,0,0,1,after_add,1.34163e-06,1.59579e-07,correct,measured
SEAL,CKKS,4096,3,0,1,0,fresh,8.75499e-07,1.15833e-07,correct,measured
SEAL,CKKS,4096,3,0,1,1,after_add,1.16637e-06,1.60562e-07,correct,measured
SEAL,CKKS,4096,3,0,2,0,fresh,1.30726e-06,1.1737e-07,correct,measured
SEAL,CKKS,4096,3,0,2,1,after_add,1.52502e-06,1.64129e-07,correct,measured
SEAL,CKKS,4096,3,0,3,0,fresh,7.9665e-07,1.1382e-07,correct,measured
SEAL,CKKS,4096,3,0,3,1,after_add,1.22058e-06,1.64815e-07,correct,measured
SEAL,CKKS,4096,3,0,4,0,fresh,1.08812e-06,1.13141e-07,correct,measured
SEAL,CKKS,4096,3,0,4,1,after_add,1.53595e-06,1.57427e-07,correct,measured
SEAL,CKKS,4096,3,0,5,0,fresh,6.94532e-07,1.1278e-07,correct,measured
SEAL,CKKS,4096,3,0,5,1,after_add,1.44229e-06,1.60268e-07,correct,measured
SEAL,CKKS,4096,3,0,6,0,fresh,1.00209e-06,1.11604e-07,correct,measured
SEAL,CKKS,4096,3,0,6,1,after_add,2.09899e-06,1.58984e-07,correct,measured
SEAL,CKKS,4096,3,0,7,0,fresh,8.53217e-07,1.14193e-07,correct,measured
SEAL,CKKS,4096,3,0,7,1,after_add,1.13215e-06,1.6079e-07,correct,measured
SEAL,CKKS,4096,3,0,8,0,fresh,1.03013e-06,1.12928e-07,correct,measured
SEAL,CKKS,4096,3,0,8,1,after_add,1.84508e-06,1.6178e-07,correct,measured
SEAL,CKKS,4096,3,0,9,0,fresh,1.06087e-06,1.15896e-07,correct,measured
SEAL,CKKS,4096,3,0,9,1,after_add,1.66906e-06,1.65913e-07,correct,measured
