library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,8192,1,2,0,0,fresh,6.70899e-09,8.96869e-10,correct,measured
SEAL,CKKS,8192,1,2,0,1,after_add,9.42916e-09,1.26762e-09,correct,measured
SEAL,CKKS,8192,1,2,0,2,after_multiply_1,9.84041e-09,9.56457e-10,correct,measured
SEAL,CKKS,8192,1,2,0,3,after_relinearize_1,9.84041e-09,9.56457e-10,correct,measured
SEAL,CKKS,8192,1,2,0,4,after_rescale_1,1.34294e-08,1.31628e-09,correct,measured
SEAL,CKKS,8192,1,2,0,5,after_multiply_2,9.82078e-09,7.69778e-10,correct,measured
SEAL,CKKS,8192,1,2,0,6,after_relinearize_2,9.82078e-09,7.69778e-10,correct,measured
SEAL,CKKS,8192,1,2,0,7,after_rescale_2,1.14923e-08,1.21697e-09,correct,measured
SEAL,CKKS,8192,1,2,1,0,fresh,6.69622e-09,8.91726e-10,correct,measured
SEAL,CKKS,8192,1,2,1,1,after_add,9.03696e-09,1.26556e-09,correct,measured
SEAL,CKKS,8192,1,2,1,2,after_multiply_1,1.06778e-08,9.36217e-10,correct,measured
SEAL,CKKS,8192,1,2,1,3,after_relinearize_1,1.06778e-08,9.36217e-10,correct,measured
SEAL,CKKS,8192,1,2,1,4,after_rescale_1,1.06613e-08,1.31583e-09,correct,measured
SEAL,CKKS,8192,1,2,1,5,after_multiply_2,1.24308e-08,7.77066e-10,correct,measured
SEAL,CKKS,8192,1,2,1,6,after_relinearize_2,1.24308e-08,7.77066e-10,correct,measured
SEAL,CKKS,8192,1,2,1,7,after_rescale_2,1.59362e-08,1.20171e-09,correct,measured
SEAL,CKKS,8192,1,2,2,0,fresh,8.6906e-09,8.93303e-10,correct,measured
SEAL,CKKS,8192,1,2,2,1,after_add,1.13768e-08,1.26955e-09,correct,measured
SEAL,CKKS,8192,1,2,2,2,after_multiply_1,1.29566e-08,9.66825e-10,correct,measured
SEAL,CKKS,8192,1,2,2,3,after_relinearize_1,1.29566e-08,9.66825e-10,correct,measured
SEAL,CKKS,8192,1,2,2,4,after_rescale_1,1.32064e-08,1.33679e-09,correct,measured
SEAL,CKKS,8192,1,2,2,5,after_multiply_2,1.11246e-08,7.85347e-10,correct,measured
SEAL,CKKS,8192,1,2,2,6,after_relinearize_2,1.11246e-08,7.85347e-10,correct,measured
SEAL,CKKS,8192,1,2,2,7,after_rescale_2,1.17386e-08,1.2012e-09,correct,measured
SEAL,CKKS,8192,1,2,3,0,fresh,6.37173e-09,8.91017e-10,correct,measured
