library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,2048,5,0,0,0,fresh,117.954,14.769,MISMATCH,measured
SEAL,CKKS,2048,5,0,0,1,after_add,149.825,22.3065,MISMATCH,measured
SEAL,CKKS,2048,5,0,1,0,fresh,96.3705,15.3826,MISMATCH,measured
SEAL,CKKS,2048,5,0,1,1,after_add,144.555,21.2632,MISMATCH,measured
SEAL,CKKS,2048,5,0,2,0,fresh,115.931,15.2731,MISMATCH,measured
SEAL,CKKS,2048,5,0,2,1,after_add,146.494,22.708,MISMATCH,measured
SEAL,CKKS,2048,5,0,3,0,fresh,104.339,15.7398,MISMATCH,measured
SEAL,CKKS,2048,5,0,3,1,after_add,179.412,23.2237,MISMATCH,measured
SEAL,CKKS,2048,5,0,4,0,fresh,125.482,15.2297,MISMATCH,measured
SEAL,CKKS,2048,5,0,4,1,after_add,157.281,20.4056,MISMATCH,measured
SEAL,CKKS,2048,5,0,5,0,fresh,99.2555,15.5803,MISMATCH,measured
SEAL,CKKS,2048,5,0,5,1,after_add,186.539,22.0844,MISMATCH,measured
SEAL,CKKS,2048,5,0,6,0,fresh,85.442,16.4437,MISMATCH,measured
SEAL,CKKS,2048,5,0,6,1,after_add,191.021,22.3787,MISMATCH,measured
SEAL,CKKS,2048,5,0,7,0,fresh,101.447,15.4216,MISMATCH,measured
SEAL,CKKS,2048,5,0,7,1,after_add,161.571,21.3305,MISMATCH,measured
SEAL,CKKS,2048,5,0,8,0,fresh,78.5541,15.2421,MISMATCH,measured
SEAL,CKKS,2048,5,0,8,1,after_add,118.862,21.929,MISMATCH,measured
SEAL,CKKS,2048,5,0,9,0,fresh,94.6321,15.776,MISMATCH,measured
SEAL,CKKS,2048,5,0,9,1,after_add,135.447,21.4515,MISMATCH,measured
