library,scheme,N,category,grid_depth,trial,step_index,step_name,max_abs_error,mean_abs_error,correctness,status
SEAL,CKKS,8192,3,1,0,0,fresh,9.99898e-09,8.8538e-10,correct,measured
SEAL,CKKS,8192,3,1,0,1,after_add,1.03169e-08,1.25961e-09,correct,measured
SEAL,CKKS,8192,3,1,0,2,after_multiply_1,9.75118e-09,9.20646e-10,correct,measured
SEAL,CKKS,8192,3,1,0,3,after_relinearize_1,9.75118e-09,9.20646e-10,correct,measured
SEAL,CKKS,8192,3,1,0,4,after_rescale_1,1.06562e-06,1.11231e-07,correct,measured
SEAL,CKKS,8192,3,1,1,0,fresh,6.36279e-09,8.80633e-10,correct,measured
SEAL,CKKS,8192,3,1,1,1,after_add,1.04701e-08,1.21422e-09,correct,measured
SEAL,CKKS,8192,3,1,1,2,after_multiply_1,9.22349e-09,8.93112e-10,correct,measured
SEAL,CKKS,8192,3,1,1,3,after_relinearize_1,9.22349e-09,8.93112e-10,correct,measured
SEAL,CKKS,8192,3,1,1,4,after_rescale_1,8.19724e-07,1.12462e-07,correct,measured
SEAL,CKKS,8192,3,1,2,0,fresh,6.58725e-09,8.97045e-10,correct,measured
SEAL,CKKS,8192,3,1,2,1,after_add,9.58281e-09,1.22897e-09,correct,measured
SEAL,CKKS,8192,3,1,2,2,after_multiply_1,9.16782e-09,9.35955e-10,correct,measured
SEAL,CKKS,8192,3,1,2,3,after_relinearize_1,9.16782e-09,9.35955e-10,correct,measured
SEAL,CKKS,8192,3,1,2,4,after_rescale_1,1.12283e-06,1.11435e-07,correct,measured
SEAL,CKKS,8192,3,1,3,0,fresh,7.46708e-09,8.86882e-10,correct,measured
SEAL,CKKS,8192,3,1,3,1,after_add,1.07729e-08,1.23592e-09,correct,measured
SEAL,CKKS,8192,3,1,3,2,after_multiply_1,1.01099e-08,9.53238e-10,correct,measured
SEAL,CKKS,8192,3,1,3,3,after_relinearize_1,1.01099e-08,9.53238e-10,correct,measured
SEAL,CKKS,8192,3,1,3,4,after_rescale_1,9.8483e-07,1.1175e-07,correct,measured
SEAL,CKKS,8192,3,1,4,0,fresh,8.60635e-09,8.73351e-10,correct,measured
SEAL,CKKS,8192,3,1,4,1,after_add,9.2478e-09,1.22066e-09,correct,measured
SEAL,CKKS,8192,3,1,4,2,after_multiply_1,1.16579e-08,9.21093e-10,correct,measured
SEAL,CKKS,8192,3,1,4,3,after_relinearize_1,1.16579e-08,9.21093e-10,correct,measured
SEAL,CKKS,8192,3,1,4,4,after_rescale_1,9.32169e-07,1.11525e-07,correct,measured
SEAL,CKKS,8192,3,1,5,0,fresh,8.79308e-09,8.80388e-10,correct,measured
SEAL,CKKS,8192,3,1,5,1,after_add,1.1084e-08,1.24439e-09,correct,measured
SEAL,CKKS,8192,3,1,5,2,after_multiply_1,1.02926e-08,9.19995e-10,correct,measured
SEAL,CKKS,8192,3,1,5,3,after_relinearize_1,1.02926e-08,9.19995e-10,correct,measured
SEAL,CKKS,8192,3,1,5,4,after_rescale_1,9.81119e-07,1.1192e-07,correct,measured
SEAL,CKKS,8192,3,1,6,0,fresh,9.37054e-09,8.84088e-10,correct,measured
SEAL,CKKS,8192,3,1,6,1,after_add,1.0667e-08,1.19869e-09,correct,measured
SEAL,CKKS,8192,3,1,6,2,after_multiply_1,1.13277e-08,9.17057e-10,correct,measured
SEAL,CKKS,8192,3,1,6,3,after_relinearize_1,1.13277e-08,9.17057e-10,correct,measured
SEAL,CKKS,8192,3,1,6,4,after_rescale_1,1.17151e-06,1.11892e-07,correct,measured
SEAL,CKKS,8192,3,1,7,0,fresh,6.69218e-09,8.52884e-10,correct,measured
SEAL,CKKS,8192,3,1,7,1,after_add,1.02881e-08,1.2107e-09,correct,measured
SEAL,CKKS,8192,3,1,7,2,after_multiply_1,1.44113e-08,9.02872e-10,correct,measured
SEAL,CKKS,8192,3,1,7,3,after_relinearize_1,1.44113e-08,9.02872e-10,correct,measured
SEAL,CKKS,8192,3,1,7,4,after_rescale_1,1.08423e-06,1.1323e-07,correct,measured
SEAL,CKKS,8192,3,1,8,0,fresh,7.88303e-09,8.6765e-10,correct,measured
SEAL,CKKS,8192,3,1,8,1,after_add,1.13105e-08,1.2242e-09,correct,measured
SEAL,CKKS,8192,3,1,8,2,after_multiply_1,1.07612e-08,9.43832e-10,correct,measured
SEAL,CKKS,8192,3,1,8,3,after_relinearize_1,1.07612e-08,9.43832e-10,correct,measured
SEAL,CKKS,8192,3,1,8,4,after_rescale_1,1.51311e-06,1.1138e-07,correct,measured
SEAL,CKKS,8192,3,1,9,0,fresh,6.72776e-09,8.80575e-10,correct,measured
SEAL,CKKS,8192,3,1,9,1,after_add,9.61128e-09,1.21733e-09,correct,measured
SEAL,CKKS,8192,3,1,9,2,after_multiply_1,1.01085e-08,9.04362e-10,correct,measured
SEAL,CKKS,8192,3,1,9,3,after_relinearize_1,1.01085e-08,9.04362e-10,correct,measured
SEAL,CKKS,8192,3,1,9,4,after_rescale_1,9.9047e-07,1.12665e-07,correct,measured
