scheme,N,category,operation,batch1_per_item_ms,batch1_n,batch100_per_item_ms,batch100_n,diff,margin_pct,margin,se,df,ci_low,ci_high,p_lower,p_upper,verdict,real_difference_outside_margin
BFV,2048,1,add,0.0049832,100,0.006096667,10,0.001113467,0.1,0.00049832,0.00021821414294616027,19.972812906525107,0.0007370842325722436,0.0014898497674277562,1.9719147466582293e-07,0.9946946157493818,equivalence_not_established,True
BFV,2048,1,decrypt,0.0766232,100,0.07723758,10,0.0006143799999999977,0.1,0.00766232,0.0011277194491521188,14.172803291330112,-0.0013701738755436065,0.002598933875543602,1.711828743146186e-06,1.0064126108294774e-05,equivalent_within_margin,False
BFV,2048,1,encrypt,0.36816895,100,0.3573196,10,-0.01084934999999998,0.1,0.036816895,0.006195640134826891,103.73294883438292,-0.021132104243690393,-0.0005665957563095667,2.923811865630422e-05,4.3210952334964534e-12,equivalent_within_margin,False
BFV,2048,3,add,0.00918939,100,0.010148566999999999,10,0.0009591769999999986,0.1,0.0009189390000000001,0.00022683624749382712,16.030741756056152,0.0005631938719523413,0.0013551601280476558,1.7461822278173374e-07,0.5692871402862973,equivalence_not_established,False
BFV,2048,3,decrypt,0.12304591,100,0.1265253,10,0.0034793900000000128,0.1,0.012304591,0.0005803288274754154,68.06772725378119,0.002511663032709958,0.004447116967290068,1.368865147346554e-38,7.019009844234067e-24,equivalent_within_margin,False
BFV,2048,3,encrypt,0.33439337,100,0.3466032,10,0.012209829999999977,0.1,0.033439337000000006,0.006418559408066563,107.52440363140808,0.0015604858896773061,0.02285917411032265,6.63107148015125e-11,0.0006402890586598931,equivalent_within_margin,False
BFV,2048,5,add,0.00512256,100,0.005357211,10,0.00023465099999999978,0.1,0.000512256,0.00017977644928231158,13.755353411937419,-8.238949340581478e-05,0.0005516914934058143,0.0005040437447971006,0.07261863639859789,equivalence_not_established,False
BFV,2048,5,decrypt,0.07675007,100,0.07597628000000001,10,-0.0007737899999999964,0.1,0.007675007000000001,0.0006859954936293662,104.66640211922466,-0.001912228654316613,0.00036464865431662017,2.3172232459599158e-17,2.197377820027305e-22,equivalent_within_margin,False
BFV,2048,5,encrypt,0.2518997,100,0.2608239,10,0.008924199999999993,0.1,0.025189970000000002,0.001573395436049634,18.137381899312366,0.006196951380630655,0.011651448619369332,1.0098576981561537e-14,2.472352371049043e-09,equivalent_within_margin,False
BFV,4096,1,add,0.01759503,100,0.02179404,10,0.0041990099999999995,0.1,0.0017595030000000002,0.0007396038041588634,13.667202234650505,0.00289409328618294,0.0055039267138170585,7.416964518594699e-07,0.9972846230926434,equivalence_not_established,True
BFV,4096,1,decrypt,0.26457708,100,0.2708379,10,0.00626082,0.1,0.026457708000000003,0.0019468211150944971,92.5217225402407,0.0030261960049261113,0.009495443995073889,3.644225524783199e-30,1.75848810419231e-17,equivalent_within_margin,False
BFV,4096,1,encrypt,0.882047,100,0.8873313,10,0.0052843000000000195,0.1,0.08820470000000001,0.0035633081597461025,54.830034112941945,-0.0006775521887181554,0.011246152188718194,5.122252507568533e-33,2.1595543991483857e-30,equivalent_within_margin,False
BFV,4096,1,multiply,2.7973992,100,2.719488,10,-0.07791119999999996,0.1,0.27973992000000003,0.00552466817812473,83.23666261048218,-0.08710074958039808,-0.06872165041960183,2.5529499615442354e-53,2.844976866616671e-73,equivalent_within_margin,False
BFV,4096,1,relinearize,0.55077893,100,0.5611509,10,0.010371970000000008,0.1,0.055077893,0.003311126494926621,16.304219970879252,0.004597736573364534,0.016146203426635482,4.0261193025520817e-13,1.4256582900802447e-10,equivalent_within_margin,False
BFV,4096,3,add,0.01357093,100,0.010362353,10,-0.0032085770000000007,0.1,0.0013570930000000002,0.0005299843896890271,90.03953500783861,-0.004089386408345827,-0.002327767591654174,0.9996292817898481,1.0856354727838772e-13,equivalence_not_established,True
BFV,4096,3,decrypt,0.15785205,100,0.172339,10,0.014486949999999998,0.1,0.015785205,0.001965977507982718,12.72956018912163,0.010999669657647922,0.017974230342352075,6.625196084461266e-10,0.26039660011838456,equivalence_not_established,False
BFV,4096,3,encrypt,0.68962641,100,0.7181018,10,0.02847538999999999,0.1,0.068962641,0.009244663904572414,56.064286964948025,0.013013781652959982,0.04393699834704,3.238418545894158e-15,2.627615946875826e-05,equivalent_within_margin,False
BFV,4096,5,add,0.01331489,100,0.010228998,10,-0.003085892,0.1,0.001331489,0.0005147773561394275,107.59486751721361,-0.0039399792889882965,-0.002231804711011703,0.99953928522872,3.908636825963171e-14,equivalence_not_established,True
BFV,4096,5,decrypt,0.15909853,100,0.1585028,10,-0.0005957299999999888,0.1,0.015909852999999998,0.0013178550853377255,48.883657680024996,-0.0028052824502854353,0.0016138224502854578,5.659331420585732e-16,3.5846482981977186e-17,equivalent_within_margin,False
BFV,4096,5,encrypt,0.68427286,100,0.691019,10,0.006746140000000067,0.1,0.068427286,0.0021465343647833735,85.8416723848125,0.0031768851335861456,0.010315394866413988,6.523583540766049e-53,4.105361489780725e-46,equivalent_within_margin,False
BFV,8192,1,add,0.06935211,100,0.06058034,10,-0.008771769999999991,0.1,0.006935211,0.002120960423859622,38.514909415300615,-0.012346418730906732,-0.00519712126909325,0.8040489289604059,3.2258266329552486e-09,equivalence_not_established,False
BFV,8192,1,decrypt,0.76022327,100,0.7810752999999999,10,0.02085202999999991,0.1,0.076022327,0.0067874971325157935,15.176786566339759,0.00896230077667793,0.03274175922332189,1.6663220565891207e-10,3.2613974948657455e-07,equivalent_within_margin,False
BFV,8192,1,encrypt,2.2327076,100,2.224347,10,-0.008360600000000051,0.1,0.22327076,0.014468414866176532,37.59523255202016,-0.03276025162699063,0.016039051626990528,1.29291172518632e-17,1.1249132582546318e-18,equivalent_within_margin,False
BFV,8192,1,multiply,8.3883296,100,8.102813,10,-0.2855166000000011,0.1,0.8388329600000001,0.03370820226094905,107.9154705973111,-0.34144175660763404,-0.2295914433923682,2.0862598591118114e-31,5.7697812937427435e-59,equivalent_within_margin,False
BFV,8192,1,relinearize,2.0015853,100,1.949472,10,-0.05211329999999981,0.1,0.20015853,0.022396252222757127,34.800613696057205,-0.0899592847591821,-0.0142673152408175,6.285972233536438e-08,1.8590626239898824e-13,equivalent_within_margin,False
BFV,8192,3,add,0.03861622,100,0.03860177,10,-1.4449999999999186e-05,0.1,0.0038616220000000003,0.0009019591732719918,93.96291920084518,-0.0015128137847099264,0.001483913784709928,2.377077530498298e-05,2.1074253083768544e-05,equivalent_within_margin,False
BFV,8192,3,decrypt,0.52799954,100,0.5285524,10,0.0005528599999999884,0.1,0.05279995400000001,0.0016163511708034155,76.52447056468706,-0.0021383817292451642,0.003244101729245141,2.574501858288011e-47,1.1500298404895853e-46,equivalent_within_margin,False
BFV,8192,3,encrypt,1.8864358,100,2.615647,10,0.7292112,0.1,0.18864358000000003,0.1389904927507074,9.363175621390116,0.4755464825388684,0.9828759174611315,4.1159305701885264e-05,0.9982938918282075,equivalence_not_established,True
BFV,8192,3,multiply,5.6515296,100,5.722576,10,0.07104640000000018,0.1,0.56515296,0.016897176559868058,12.586650547382458,0.041047296971605446,0.1010455030283949,1.2827595484566165e-14,2.9861871181502353e-13,equivalent_within_margin,False
BFV,8192,3,relinearize,1.202725,100,1.153982,10,-0.04874299999999998,0.1,0.1202725,0.00556448213804721,105.32128569337327,-0.057976981672108636,-0.039509018327891325,1.3040593637143237e-23,3.216323077902199e-54,equivalent_within_margin,False
BFV,8192,5,add,0.01765029,100,0.02306094,10,0.0054106499999999995,0.1,0.001765029,0.001285302154753166,9.714506212814575,0.003074123422808015,0.007747176577191984,0.00012955804232077944,0.9909285667997965,equivalence_not_established,True
BFV,8192,5,decrypt,0.33248509,100,0.3354806,10,0.0029955100000000345,0.1,0.033248509,0.0033512815439902836,19.59976980362754,-0.002790237714987603,0.008781257714987672,5.217431836590254e-10,1.0215366742301476e-08,equivalent_within_margin,False
BFV,8192,5,encrypt,1.3944912,100,1.38821,10,-0.006281200000000098,0.1,0.13944912,0.006411802756753771,25.720799983346343,-0.017221670822996887,0.0046592708229966934,6.783515955501187e-18,7.493720408369892e-19,equivalent_within_margin,False
BGV,2048,1,add,0.00490133,100,0.005454078,10,0.0005527480000000005,0.1,0.000490133,0.00020491202237323927,12.489257475961148,0.00018872423465063213,0.0009167717653493688,0.00011759445846930493,0.6175173718405058,equivalence_not_established,False
BGV,2048,1,decrypt,0.04664238,100,0.04920149,10,0.0025591100000000033,0.1,0.004664238,0.0004898222506659687,45.48231425729186,0.0017366723970386744,0.0033815476029613323,3.015706647384248e-19,4.497404798487758e-05,equivalent_within_margin,False
BGV,2048,1,encrypt,0.44039616,100,0.4640363,10,0.02364014000000003,0.1,0.044039616000000004,0.00560935158144744,13.043881286545226,0.013708906898288886,0.033571373101711176,9.43998265824931e-09,0.001498772706662465,equivalent_within_margin,False
BGV,2048,3,add,0.00951609,100,0.010221905,10,0.0007058150000000003,0.1,0.000951609,0.00031295509687098114,17.389233639869932,0.00016209643156602763,0.0012495335684339728,2.7508694512670527e-05,0.22139555494425528,equivalence_not_established,False
BGV,2048,3,decrypt,0.08587806,100,0.08557494,10,-0.00030312000000000394,0.1,0.008587806000000002,0.001438337576660057,16.484119658515514,-0.0028097746748770866,0.0022035346748770787,1.3026721998814622e-05,5.767200628870913e-06,equivalent_within_margin,False
BGV,2048,3,encrypt,0.37717332,100,0.5121147,10,0.13494138000000006,0.1,0.037717332,0.02324725453459045,9.17147509107111,0.09241706992156892,0.1774656900784312,1.800938071553677e-05,0.9988638256174693,equivalence_not_established,True
BGV,2048,5,add,0.00502905,100,0.00593558,10,0.00090653,0.1,0.000502905,0.000322679294483679,10.480376645441474,0.00032439468693732797,0.001488665313062672,0.0006282441629022318,0.88090442376006,equivalence_not_established,False
BGV,2048,5,decrypt,0.04749737,100,0.048139440000000006,10,0.0006420700000000085,0.1,0.004749737,0.0005633487154211561,39.33135636306592,-0.00030690773864684674,0.0015910477386468637,4.001412182723561e-12,4.072811390004368e-09,equivalent_within_margin,False
BGV,2048,5,encrypt,0.25544781,100,0.2846863,10,0.029238490000000006,0.1,0.025544781000000003,0.004480968880061521,9.50395675703179,0.021073681214848882,0.037403298785151126,1.9856518207317806e-07,0.7850176311425983,equivalence_not_established,False
BGV,4096,1,add,0.01824264,100,0.019845599999999998,10,0.001602959999999997,0.1,0.0018242640000000001,0.0005540738706575636,26.622978538221407,0.0006587375446561153,0.0025471824553438788,6.901896765778924e-07,0.3463877602175377,equivalence_not_established,False
BGV,4096,1,decrypt,0.26440308,100,0.17180890000000001,10,-0.09259418,0.1,0.026440308000000003,0.0047542429895061815,53.0483400222619,-0.1005532063619575,-0.0846351536380425,1.0,2.3458147675407216e-31,equivalence_not_established,True
BGV,4096,1,encrypt,1.2049505,100,1.237535,10,0.032584500000000016,0.1,0.12049505,0.00718683510214013,10.923323829407192,0.01966947633118382,0.04549952366881621,1.51550777678912e-10,5.123183850243017e-08,equivalent_within_margin,False
BGV,4096,1,multiply,0.15017415,100,0.1501673,10,-6.850000000002687e-06,0.1,0.015017415000000001,0.0053080979660654806,9.349614215820411,-0.00969593090295704,0.009682230902957034,0.00954147584425902,0.009500629373580502,equivalent_within_margin,False
BGV,4096,1,relinearize,0.73516561,100,0.6881522,10,-0.04701341000000003,0.1,0.07351656100000001,0.006961945668321872,25.60437109413862,-0.05889460803322903,-0.035132211966771035,0.00039372551132499785,5.959085325079877e-16,equivalent_within_margin,False
BGV,4096,3,add,0.01540755,100,0.010461123,10,-0.0049464270000000015,0.1,0.0015407550000000002,0.0006340286496011522,104.56948708756447,-0.005998633178430897,-0.0038942208215691056,0.9999997622956239,9.649534243008968e-18,equivalence_not_established,True
BGV,4096,3,decrypt,0.09601027,100,0.10025468,10,0.004244410000000004,0.1,0.009601027,0.0016876082535294767,11.002424405949284,0.0012137210691032163,0.007275098930896792,2.564453430487253e-06,0.004425810340264491,equivalent_within_margin,False
BGV,4096,3,encrypt,0.87253451,100,0.8920592,10,0.01952469000000001,0.1,0.08725345100000001,0.0036628817159649707,15.573500576852226,0.013118965950770542,0.02593041404922948,2.5987696877011133e-15,2.568233021230613e-12,equivalent_within_margin,False
BGV,4096,5,add,0.01007425,100,0.01184365,10,0.0017694000000000008,0.1,0.001007425,0.0005070105455739873,16.047285756633215,0.0008843785103056252,0.0026544214896943763,2.5086548380403448e-05,0.9238531465423179,equivalence_not_established,False
BGV,4096,5,decrypt,0.09797633,100,0.09730246,10,-0.000673870000000007,0.1,0.009797633,0.0008420243072710867,106.84999585774258,-0.002070990122093859,0.000723250122093845,3.319044969618315e-19,8.513477059994883e-23,equivalent_within_margin,False
BGV,4096,5,encrypt,0.89449806,100,0.9049636,10,0.010465539999999995,0.1,0.089449806,0.0025869833474461384,40.10171754996383,0.006109707377949256,0.014821372622050735,1.2048642556761147e-33,1.1026418176304234e-29,equivalent_within_margin,False
BGV,8192,1,add,0.07224985,100,0.06715337,10,-0.0050964800000000005,0.1,0.007224985000000001,0.003117552040845477,29.737107155671588,-0.010389269488574444,0.0001963094885744426,0.25002514452446783,0.00022018033783454972,equivalence_not_established,False
BGV,8192,1,decrypt,0.50409353,100,0.501528,10,-0.002565530000000038,0.1,0.050409353000000004,0.0025431620708633155,40.22715553435183,-0.006847262877424041,0.001716202877423965,7.635540663825806e-22,1.8408522238337572e-23,equivalent_within_margin,False
