scheme,N,category,operation,fill1.00_latency_ms,fill1.00_n,fill1_latency_ms,fill1_n,diff,margin_pct,margin,se,df,ci_low,ci_high,p_lower,p_upper,verdict,real_difference_outside_margin
BFV,8192,1,add,0.05116859,100,0.05422291,100,0.0030543199999999993,0.1,0.0051168590000000005,0.000828890087289057,197.81575725852883,0.0016845020280240896,0.004424137971975909,3.3352662964283253e-19,0.0068305037712087895,equivalent_within_margin,False
BFV,8192,1,encrypt,2.1499214,100,2.1110132999999998,100,-0.038908100000000445,0.1,0.21499214000000003,0.014092049819764592,102.30471632584621,-0.06229927732248744,-0.015516922677513454,1.3030130285787087e-22,8.22650297272726e-34,equivalent_within_margin,False
BFV,8192,1,multiply,7.8706552,100,7.8605078,100,-0.01014740000000014,0.1,0.7870655200000001,0.009800761550558658,139.7671991155665,-0.02637578405316574,0.006080984053165459,2.2860633699994565e-118,6.711232778173142e-120,equivalent_within_margin,False
BGV,8192,1,add,0.0520694,100,0.07057564,100,0.018506239999999993,0.1,0.00520694,0.0019614689070276805,110.54808257550003,0.015252644943763688,0.0217598350562363,2.9773705540157486e-22,0.9999999996924543,equivalence_not_established,True
BGV,8192,1,encrypt,3.1498922,100,3.163548,100,0.013655799999999996,0.1,0.31498922,0.0028508303329862956,194.14838867839,0.008944118914738418,0.018367481085261574,4.788023360171562e-181,7.609177882584e-174,equivalent_within_margin,False
BGV,8192,1,multiply,0.43967963,100,0.44111255,100,0.0014329200000000042,0.1,0.043967963,0.0021847858399094144,174.06473693427918,-0.002179961426123185,0.005045801426123193,2.5606910733544086e-49,7.290415759078995e-46,equivalent_within_margin,False
CKKS,8192,1,add,0.05243086,100,0.05354031,100,0.001109449999999998,0.1,0.005243086000000001,0.000993142275475354,191.9150275205646,-0.0005320474699763965,0.002750947469976392,5.927973722349446e-10,2.3778549196171574e-05,equivalent_within_margin,False
CKKS,8192,1,encrypt,2.6745921,100,2.7126856,100,0.0380935,0.1,0.26745921,0.016553771650926263,102.40314903984314,0.010616389732323237,0.06557061026767677,1.1919673026929989e-34,1.5998122456639243e-25,equivalent_within_margin,False
CKKS,8192,1,multiply,0.44292221,100,0.44578122,100,0.002859009999999995,0.1,0.044292221,0.0031299203565519976,184.28665356062777,-0.002315261890887557,0.008033281890887548,2.980947748215456e-34,7.549210143507483e-29,equivalent_within_margin,False
