library,scheme,N,category,scenario,operation,batch_size,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BFV,8192,5,edge_batch,keygen,1,latency_ms,26.014996,0.7068821978236544,25.874735236030364,26.155256763969636,26.14135,25.759925000000003,26.483075,
SEAL,BFV,8192,5,edge_batch,keygen,1,energy_pkg_j_per_op,0.5738481523809523,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,5,edge_batch,keygen,1,peak_memory_mb,8.11328125,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,8192,5,edge_batch,keygen,1,keygen_amortized_ms,26.014996,,,,,,,derived_not_measured
SEAL,BFV,8192,5,edge_batch,keygen,10,keygen_amortized_ms,2.6014996,,,,,,,derived_not_measured
SEAL,BFV,8192,5,edge_batch,keygen,100,keygen_amortized_ms,0.26014996,,,,,,,derived_not_measured
SEAL,BGV,2048,1,edge_batch,keygen,1,latency_ms,22.173462,0.6469801028554967,22.0450871112575,22.3018368887425,22.3069,22.0224,22.568224999999998,
SEAL,BGV,2048,1,edge_batch,keygen,1,energy_pkg_j_per_op,0.501936038095238,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,2048,1,edge_batch,keygen,1,peak_memory_mb,5.1796875,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,2048,1,edge_batch,keygen,1,keygen_amortized_ms,22.173462,,,,,,,derived_not_measured
SEAL,BGV,2048,1,edge_batch,keygen,10,keygen_amortized_ms,2.2173462,,,,,,,derived_not_measured
SEAL,BGV,2048,1,edge_batch,keygen,100,keygen_amortized_ms,0.22173462,,,,,,,derived_not_measured
SEAL,BGV,2048,3,edge_batch,keygen,1,latency_ms,14.561488,0.5907201999271907,14.444276296565995,14.678699703434006,14.69775,14.465425,14.864725000000002,
SEAL,BGV,2048,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.33800320952380947,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,2048,3,edge_batch,keygen,1,peak_memory_mb,5.15234375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,2048,3,edge_batch,keygen,1,keygen_amortized_ms,14.561488,,,,,,,derived_not_measured
SEAL,BGV,2048,3,edge_batch,keygen,10,keygen_amortized_ms,1.4561488,,,,,,,derived_not_measured
SEAL,BGV,2048,3,edge_batch,keygen,100,keygen_amortized_ms,0.14561488,,,,,,,derived_not_measured
SEAL,BGV,4096,1,edge_batch,keygen,1,latency_ms,41.918583,0.9567613784871577,41.72874078541826,42.108425214581736,42.20935,41.23605,42.541875,
SEAL,BGV,4096,1,edge_batch,keygen,1,energy_pkg_j_per_op,0.8403420476190476,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,4096,1,edge_batch,keygen,1,peak_memory_mb,8.20703125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,4096,1,edge_batch,keygen,1,keygen_amortized_ms,41.918583,,,,,,,derived_not_measured
SEAL,BGV,4096,1,edge_batch,keygen,10,keygen_amortized_ms,4.1918583,,,,,,,derived_not_measured
SEAL,BGV,4096,1,edge_batch,keygen,100,keygen_amortized_ms,0.41918583,,,,,,,derived_not_measured
SEAL,BGV,4096,3,edge_batch,keygen,1,latency_ms,24.855888,0.8159261349119314,24.693990553186538,25.017785446813463,25.12505,24.70995,25.330525,
SEAL,BGV,4096,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.5475565809523809,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,4096,3,edge_batch,keygen,1,peak_memory_mb,6.234375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,4096,3,edge_batch,keygen,1,keygen_amortized_ms,24.855888,,,,,,,derived_not_measured
SEAL,BGV,4096,3,edge_batch,keygen,10,keygen_amortized_ms,2.4855888,,,,,,,derived_not_measured
SEAL,BGV,4096,3,edge_batch,keygen,100,keygen_amortized_ms,0.24855888,,,,,,,derived_not_measured
SEAL,BGV,4096,5,edge_batch,keygen,1,latency_ms,22.64437,0.6061588199890396,22.52409493940241,22.764645060597587,22.72665,22.493325,23.071125,
SEAL,BGV,4096,5,edge_batch,keygen,1,energy_pkg_j_per_op,0.4859825619047619,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,4096,5,edge_batch,keygen,1,peak_memory_mb,6.21484375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,4096,5,edge_batch,keygen,1,keygen_amortized_ms,22.64437,,,,,,,derived_not_measured
SEAL,BGV,4096,5,edge_batch,keygen,10,keygen_amortized_ms,2.264437,,,,,,,derived_not_measured
SEAL,BGV,4096,5,edge_batch,keygen,100,keygen_amortized_ms,0.2264437,,,,,,,derived_not_measured
SEAL,BGV,8192,1,edge_batch,keygen,1,latency_ms,66.403444,0.9997152720225647,66.2050788010493,66.60180919895069,66.3877,65.676375,67.016025,
SEAL,BGV,8192,1,edge_batch,keygen,1,energy_pkg_j_per_op,1.3339806380952381,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,edge_batch,keygen,1,peak_memory_mb,16.53125,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,1,edge_batch,keygen,1,keygen_amortized_ms,66.403444,,,,,,,derived_not_measured
SEAL,BGV,8192,1,edge_batch,keygen,10,keygen_amortized_ms,6.640344399999999,,,,,,,derived_not_measured
SEAL,BGV,8192,1,edge_batch,keygen,100,keygen_amortized_ms,0.6640344399999999,,,,,,,derived_not_measured
SEAL,BGV,8192,3,edge_batch,keygen,1,latency_ms,44.956075,0.8042980861526958,44.79648481033273,45.11566518966727,45.14645,44.46725,45.4792,
SEAL,BGV,8192,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.9240916190476189,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,3,edge_batch,keygen,1,peak_memory_mb,12.35546875,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,3,edge_batch,keygen,1,keygen_amortized_ms,44.956075,,,,,,,derived_not_measured
SEAL,BGV,8192,3,edge_batch,keygen,10,keygen_amortized_ms,4.4956075,,,,,,,derived_not_measured
SEAL,BGV,8192,3,edge_batch,keygen,100,keygen_amortized_ms,0.44956075,,,,,,,derived_not_measured
SEAL,BGV,8192,5,edge_batch,keygen,1,latency_ms,26.033788,0.5811485756028767,25.91847551448985,26.149100485510154,26.163,25.8044,26.399624999999997,
SEAL,BGV,8192,5,edge_batch,keygen,1,energy_pkg_j_per_op,0.5550597428571429,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,5,edge_batch,keygen,1,peak_memory_mb,8.109375,,,,,,,n=1_invocation_not_repeated
SEAL,BGV,8192,5,edge_batch,keygen,1,keygen_amortized_ms,26.033788,,,,,,,derived_not_measured
SEAL,BGV,8192,5,edge_batch,keygen,10,keygen_amortized_ms,2.6033788,,,,,,,derived_not_measured
SEAL,BGV,8192,5,edge_batch,keygen,100,keygen_amortized_ms,0.26033788,,,,,,,derived_not_measured
SEAL,CKKS,2048,1,edge_batch,keygen,1,latency_ms,20.774014,0.5562104486939846,20.663649779905192,20.88437822009481,20.824550000000002,20.66915,21.055625,
SEAL,CKKS,2048,1,edge_batch,keygen,1,energy_pkg_j_per_op,0.46960141904761904,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,2048,1,edge_batch,keygen,1,peak_memory_mb,5.0859375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,2048,1,edge_batch,keygen,1,keygen_amortized_ms,20.774014,,,,,,,derived_not_measured
SEAL,CKKS,2048,1,edge_batch,keygen,10,keygen_amortized_ms,2.0774014000000003,,,,,,,derived_not_measured
SEAL,CKKS,2048,1,edge_batch,keygen,100,keygen_amortized_ms,0.20774014000000002,,,,,,,derived_not_measured
SEAL,CKKS,2048,3,edge_batch,keygen,1,latency_ms,20.672113,0.6487996233379257,20.543377078919,20.800848921081,20.850299999999997,20.5751,21.077075,
SEAL,CKKS,2048,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.4751113047619048,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,2048,3,edge_batch,keygen,1,peak_memory_mb,5.09375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,2048,3,edge_batch,keygen,1,keygen_amortized_ms,20.672113,,,,,,,derived_not_measured
SEAL,CKKS,2048,3,edge_batch,keygen,10,keygen_amortized_ms,2.0672113,,,,,,,derived_not_measured
SEAL,CKKS,2048,3,edge_batch,keygen,100,keygen_amortized_ms,0.20672113,,,,,,,derived_not_measured
SEAL,CKKS,4096,1,edge_batch,keygen,1,latency_ms,40.153766,0.8770116371871105,39.979747864275474,40.32778413572452,40.44745,39.432575,40.808675,
SEAL,CKKS,4096,1,edge_batch,keygen,1,energy_pkg_j_per_op,0.813591438095238,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,4096,1,edge_batch,keygen,1,peak_memory_mb,8.015625,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,4096,1,edge_batch,keygen,1,keygen_amortized_ms,40.153766,,,,,,,derived_not_measured
SEAL,CKKS,4096,1,edge_batch,keygen,10,keygen_amortized_ms,4.0153766,,,,,,,derived_not_measured
SEAL,CKKS,4096,1,edge_batch,keygen,100,keygen_amortized_ms,0.40153765999999996,,,,,,,derived_not_measured
SEAL,CKKS,4096,3,edge_batch,keygen,1,latency_ms,23.370507,0.6448648235541894,23.2425518285622,23.4984621714378,23.5654,23.285425,23.750049999999998,
SEAL,CKKS,4096,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.4803513333333333,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,4096,3,edge_batch,keygen,1,peak_memory_mb,6.2109375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,4096,3,edge_batch,keygen,1,keygen_amortized_ms,23.370507,,,,,,,derived_not_measured
SEAL,CKKS,4096,3,edge_batch,keygen,10,keygen_amortized_ms,2.3370507,,,,,,,derived_not_measured
SEAL,CKKS,4096,3,edge_batch,keygen,100,keygen_amortized_ms,0.23370507,,,,,,,derived_not_measured
SEAL,CKKS,4096,5,edge_batch,keygen,1,latency_ms,20.924532,0.7001436325771905,20.785608313569504,21.063455686430494,21.166600000000003,20.964075,21.281425,
SEAL,CKKS,4096,5,edge_batch,keygen,1,energy_pkg_j_per_op,0.49938591428571427,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,4096,5,edge_batch,keygen,1,peak_memory_mb,5.96875,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,4096,5,edge_batch,keygen,1,keygen_amortized_ms,20.924532,,,,,,,derived_not_measured
SEAL,CKKS,4096,5,edge_batch,keygen,10,keygen_amortized_ms,2.0924532,,,,,,,derived_not_measured
SEAL,CKKS,4096,5,edge_batch,keygen,100,keygen_amortized_ms,0.20924531999999998,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,edge_batch,keygen,1,latency_ms,64.386071,1.2413321223747473,64.13976377602353,64.63237822397647,64.42715,63.66305,64.97065,
SEAL,CKKS,8192,1,edge_batch,keygen,1,energy_pkg_j_per_op,1.3360000761904762,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,edge_batch,keygen,1,peak_memory_mb,15.49609375,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,1,edge_batch,keygen,1,keygen_amortized_ms,64.386071,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,edge_batch,keygen,10,keygen_amortized_ms,6.4386071000000005,,,,,,,derived_not_measured
SEAL,CKKS,8192,1,edge_batch,keygen,100,keygen_amortized_ms,0.64386071,,,,,,,derived_not_measured
SEAL,CKKS,8192,3,edge_batch,keygen,1,latency_ms,42.792325,0.8428634223660597,42.62508261094691,42.959567389053085,42.98935,41.9899,43.43545,
SEAL,CKKS,8192,3,edge_batch,keygen,1,energy_pkg_j_per_op,0.9070145714285714,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,3,edge_batch,keygen,1,peak_memory_mb,11.5390625,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,3,edge_batch,keygen,1,keygen_amortized_ms,42.792325,,,,,,,derived_not_measured
SEAL,CKKS,8192,3,edge_batch,keygen,10,keygen_amortized_ms,4.2792325,,,,,,,derived_not_measured
SEAL,CKKS,8192,3,edge_batch,keygen,100,keygen_amortized_ms,0.42792325,,,,,,,derived_not_measured
SEAL,CKKS,8192,5,edge_batch,keygen,1,latency_ms,24.39174,0.7154034475226357,24.24978843522022,24.533691564779776,24.568550000000002,24.3298,24.7717,
SEAL,CKKS,8192,5,edge_batch,keygen,1,energy_pkg_j_per_op,0.5614207238095238,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,5,edge_batch,keygen,1,peak_memory_mb,7.56640625,,,,,,,n=1_invocation_not_repeated
SEAL,CKKS,8192,5,edge_batch,keygen,1,keygen_amortized_ms,24.39174,,,,,,,derived_not_measured
SEAL,CKKS,8192,5,edge_batch,keygen,10,keygen_amortized_ms,2.439174,,,,,,,derived_not_measured
SEAL,CKKS,8192,5,edge_batch,keygen,100,keygen_amortized_ms,0.24391739999999998,,,,,,,derived_not_measured
SEAL,BFV,2048,1,edge_batch,add,1,latency_ms,0.00477016,0.00074009895216106,0.004623308311327068,0.004917011688672932,0.004669,0.004470750000000001,0.0048115,HIGH_VARIANCE
SEAL,BFV,2048,1,edge_batch,add,1,throughput_items_per_sec,209636.57403525247,,,,,,,HIGH_VARIANCE
SEAL,BFV,2048,1,edge_batch,add,1,energy_pkg_j_per_op,0.11344933333333333,,,,,,,n=1_invocation_not_repeated
SEAL,BFV,2048,1,edge_batch,add,1,peak_memory_mb,5.6484375,,,,,,,n=1_invocation_not_repeated
