library,scheme,N,category,scenario,operation,metric,mean,std,ci_low,ci_high,median,iqr_low,iqr_high,flag
SEAL,BGV,8192,1,noise_trace,after_add,noise_budget_bits,110.7,0.48304589153964794,110.35444978558635,111.04555021441365,111.0,110.25,111.0,
SEAL,BGV,8192,1,noise_trace,after_multiply_1,noise_budget_bits,74,0.0,74.0,74.0,74.0,74.0,74.0,
SEAL,BGV,8192,1,noise_trace,after_multiply_2,noise_budget_bits,36,0.0,36.0,36.0,36.0,36.0,36.0,
SEAL,BGV,8192,1,noise_trace,after_relinearize_1,noise_budget_bits,74,0.0,74.0,74.0,74.0,74.0,74.0,
SEAL,BGV,8192,1,noise_trace,after_relinearize_2,noise_budget_bits,36,0.0,36.0,36.0,36.0,36.0,36.0,
SEAL,BGV,8192,1,noise_trace,fresh,noise_budget_bits,111,0.0,111.0,111.0,111.0,111.0,111.0,
SEAL,BGV,8192,3,noise_trace,after_add,noise_budget_bits,64,0.0,64.0,64.0,64.0,64.0,64.0,
SEAL,BGV,8192,3,noise_trace,after_multiply_1,noise_budget_bits,27,0.0,27.0,27.0,27.0,27.0,27.0,
SEAL,BGV,8192,3,noise_trace,after_relinearize_1,noise_budget_bits,27,0.0,27.0,27.0,27.0,27.0,27.0,
SEAL,BGV,8192,3,noise_trace,fresh,noise_budget_bits,64.6,0.5163977794943223,64.23059128221081,64.96940871778918,65.0,64.0,65.0,
SEAL,BGV,8192,5,noise_trace,after_add,noise_budget_bits,24.9,0.31622776601683794,24.673784283720178,25.12621571627982,25.0,25.0,25.0,
SEAL,BGV,8192,5,noise_trace,fresh,noise_budget_bits,25,0.0,25.0,25.0,25.0,25.0,25.0,
SEAL,CKKS,2048,1,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,2048,3,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,2048,5,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,4096,1,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,4096,3,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,4096,5,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,8192,1,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,8192,3,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
SEAL,CKKS,8192,5,noise_trace,,noise_budget_bits,,,,,,,,skipped_not_applicable_ckks
