library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,status
SEAL,BGV,8192,1,dot_product,512,8192,76,23.2993,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,77,23.0342,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,78,24.6953,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,79,23.162,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,80,24.3477,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,81,23.2658,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,82,23.1799,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,83,23.4687,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,84,23.1887,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,85,24.57,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,86,23.2567,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,87,23.0911,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,88,23.426,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,89,23.924,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,90,24.7181,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,91,23.3574,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,92,24.3453,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,93,23.3446,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,94,23.0177,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,95,24.6987,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,96,23.1804,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,97,24.4947,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,98,24.8065,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,99,23.0674,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,100,23.5209,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,101,23.0558,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,102,24.5916,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,103,23.1315,68,measured
SEAL,BGV,8192,1,dot_product,512,8192,104,23.8626,68,measured
