library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,correctness,status
SEAL,BGV,8192,1,dot_product,8,8192,70,9.3473,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,71,9.45224,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,72,9.45908,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,73,9.65334,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,74,9.6917,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,75,9.48268,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,76,9.65086,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,77,9.5555,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,78,9.57492,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,79,9.52243,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,80,9.52924,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,81,9.52744,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,82,9.46541,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,83,9.42568,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,84,9.55853,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,85,9.57499,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,86,9.46076,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,87,9.50866,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,88,9.4315,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,89,9.46095,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,90,9.43432,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,91,9.40247,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,92,9.44291,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,93,9.40171,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,94,9.41634,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,95,9.40712,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,96,9.35257,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,97,9.41233,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,98,9.4065,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,99,9.44861,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,100,9.45601,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,101,9.64768,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,102,9.51121,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,103,9.63564,72,correct,measured
SEAL,BGV,8192,1,dot_product,8,8192,104,9.51546,72,correct,measured
