library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,status
SEAL,CKKS,8192,1,dot_product,4096,4096,74,28.0556,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,75,25.8592,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,76,27.3603,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,77,25.8469,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,78,25.6702,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,79,26.6665,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,80,25.6259,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,81,27.4343,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,82,26.168,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,83,27.3704,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,84,25.7907,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,85,25.6246,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,86,26.2733,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,87,25.8164,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,88,27.2184,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,89,25.7363,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,90,27.7799,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,91,27.9461,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,92,37.7427,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,93,41.1751,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,94,27.6,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,95,27.3614,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,96,27.7581,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,97,26.1192,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,98,27.285,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,99,26.0145,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,100,25.7557,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,101,26.6498,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,102,25.5906,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,103,27.365,,measured
SEAL,CKKS,8192,1,dot_product,4096,4096,104,32.7446,,measured
