library,scheme,N,category,operation,galois_keygen_ms,galois_keys_size_bytes,iteration,latency_ms,status
SEAL,BGV,8192,1,rotate,5.36582,1638795,74,2.30183,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,75,2.25388,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,76,2.43368,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,77,2.22611,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,78,2.24375,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,79,2.22177,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,80,2.23034,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,81,2.21794,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,82,2.24617,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,83,2.25848,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,84,2.2336,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,85,2.2065,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,86,2.23322,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,87,2.23089,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,88,2.21179,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,89,2.20777,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,90,2.23221,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,91,2.22636,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,92,2.20368,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,93,2.25906,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,94,2.19159,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,95,2.23717,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,96,2.20937,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,97,2.21959,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,98,2.21768,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,99,2.2311,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,100,2.2113,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,101,2.26118,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,102,2.21174,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,103,2.22999,measured
SEAL,BGV,8192,1,rotate,5.36582,1638795,104,2.23461,measured
