library,scheme,N,category,operation,galois_keygen_ms,galois_keys_size_bytes,iteration,latency_ms,status
SEAL,BFV,8192,1,rotate,5.16939,1638795,74,1.88537,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,75,1.88235,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,76,1.87683,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,77,1.88442,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,78,1.89461,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,79,1.8684,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,80,1.86048,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,81,1.87938,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,82,1.86856,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,83,1.85869,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,84,1.88312,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,85,1.86732,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,86,1.88466,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,87,1.90821,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,88,1.90886,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,89,1.99318,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,90,1.93287,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,91,1.91356,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,92,1.90546,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,93,1.90676,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,94,1.88418,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,95,2.04272,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,96,1.90014,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,97,1.87424,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,98,1.89878,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,99,1.88865,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,100,1.92108,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,101,1.89609,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,102,1.88162,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,103,1.89077,measured
SEAL,BFV,8192,1,rotate,5.16939,1638795,104,1.8803,measured
