library,scheme,N,category,operation,galois_keygen_ms,galois_keys_size_bytes,iteration,latency_ms,status
SEAL,CKKS,8192,1,rotate,5.18041,1638795,72,1.85051,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,73,1.96665,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,74,1.93719,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,75,1.86909,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,76,1.84409,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,77,1.94028,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,78,1.89486,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,79,1.89063,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,80,1.8798,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,81,1.86509,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,82,1.87851,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,83,1.85403,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,84,1.89716,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,85,1.89953,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,86,1.88576,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,87,1.89122,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,88,1.92616,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,89,1.86836,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,90,1.95324,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,91,1.8927,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,92,1.87109,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,93,1.86331,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,94,1.87544,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,95,1.86542,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,96,1.86332,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,97,1.87777,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,98,1.89787,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,99,1.87562,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,100,1.87997,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,101,1.82438,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,102,1.86824,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,103,1.83439,measured
SEAL,CKKS,8192,1,rotate,5.18041,1638795,104,1.86776,measured
