library,scheme,N,category,operation,vec_len,slot_count,iteration,latency_ms,noise_budget_bits,correctness,status
SEAL,CKKS,8192,1,dot_product,64,4096,74,14.0388,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,75,14.0663,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,76,13.8519,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,77,13.8054,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,78,13.8447,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,79,14.0047,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,80,13.9334,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,81,13.9195,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,82,13.9617,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,83,13.8493,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,84,14.0217,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,85,13.9806,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,86,13.8923,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,87,14.0076,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,88,14.0012,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,89,14.1349,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,90,13.9902,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,91,14.0253,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,92,13.8732,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,93,13.8789,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,94,14.1433,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,95,14.1934,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,96,13.9409,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,97,13.917,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,98,13.8565,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,99,14.2691,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,100,14.094,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,101,14.0163,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,102,13.8573,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,103,13.9191,,,measured
SEAL,CKKS,8192,1,dot_product,64,4096,104,13.8349,,,measured
